Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,10-Jul-15,2522.5,2559,2559,2455,2467,2474.35,2489.45,4131827,10285990405,211247,2279427,55.17
TCS,EQ,13-Jul-15,2474.35,2475.4,2518.6,2475.4,2506.1,2509.55,2502.25,1140154,2852946095,53024,672149,58.95
TCS,EQ,14-Jul-15,2509.55,2511,2515,2490,2498.85,2499.5,2499.62,851637,2128767356,49611,583671,68.54
TCS,EQ,15-Jul-15,2499.5,2501,2549.95,2500,2548,2545.75,2534.53,1001830,2539169260,76369,665637,66.44
TCS,EQ,16-Jul-15,2545.75,2543.7,2558.85,2526.6,2534.9,2540.2,2543.54,728304,1852469301,58974,449458,61.71
TCS,EQ,17-Jul-15,2540.2,2546.8,2570.1,2543.3,2563.25,2564.4,2558.02,535263,1369212463,39534,299824,56.01
TCS,EQ,20-Jul-15,2564.4,2564,2583.9,2551.9,2579.95,2579.15,2571.54,426893,1097773968,38037,243186,56.97
TCS,EQ,21-Jul-15,2579.15,2576,2600.35,2555.1,2561.7,2561.4,2574.93,637250,1640874812,52304,399441,62.68
TCS,EQ,22-Jul-15,2561.4,2561,2569,2521.05,2530.9,2528.05,2532.4,660314,1672180248,44395,450257,68.19
TCS,EQ,23-Jul-15,2528.05,2517.5,2537.85,2483,2492.05,2488.6,2505.27,748390,1874916485,34659,491798,65.71
TCS,EQ,24-Jul-15,2488.6,2497.5,2516.5,2492.1,2507.1,2505.15,2506.09,787486,1973508445,38528,512154,65.04
TCS,EQ,27-Jul-15,2505.15,2488,2505,2481.15,2501.15,2497.05,2496.91,1001869,2501578424,65507,798854,79.74
TCS,EQ,28-Jul-15,2497.05,2499.5,2519,2492.15,2509.7,2502.05,2509.48,945594,2372947976,48484,759857,80.36
TCS,EQ,29-Jul-15,2502.05,2511,2515.05,2483.5,2515,2506.75,2501.68,1206659,3018671545,85826,966402,80.09
TCS,EQ,30-Jul-15,2506.75,2516.05,2516.8,2472.8,2472.8,2480.65,2490.3,1385287,3449782850,77684,1230247,88.81
TCS,EQ,31-Jul-15,2480.65,2489.9,2519,2487,2511.45,2510.75,2502.23,981888,2456907020,67496,675985,68.85
TCS,EQ,3-Aug-15,2510.75,2503.4,2525,2500.9,2508,2509.6,2514.14,589662,1482492015,50976,404877,68.66
TCS,EQ,4-Aug-15,2509.6,2510.4,2523,2486,2510,2508.9,2500.32,1171346,2928737114,82052,973725,83.13
TCS,EQ,5-Aug-15,2508.9,2520,2550,2511,2544.55,2547.15,2539.25,494497,1255652002,46758,339571,68.67
TCS,EQ,6-Aug-15,2547.15,2565,2583,2550.1,2569.3,2573.3,2566.25,1105683,2837460974,67097,888664,80.37
TCS,EQ,7-Aug-15,2573.3,2573,2573,2547,2559,2552.05,2558.6,594253,1520457968,51065,457333,76.96
TCS,EQ,10-Aug-15,2552.05,2572,2589,2556.6,2575,2572.1,2576.47,715591,1843701543,45499,563414,78.73
TCS,EQ,11-Aug-15,2572.1,2578,2610,2542.1,2600.8,2604.2,2595.57,1100153,2855526877,60746,777937,70.71
TCS,BL,12-Aug-15,1020,2604.2,2604.2,2604.2,2604.2,2604.2,2604.2,49865,129858433,1,0,0
